11544.5,9.11E-08
11539.5,8.39E-08
11534.5,7.19E-08
11529.5,5.99E-08
11524.5,5.99E-08
11519.5,5.75E-08
11514.5,5.04E-08
11509.5,4.56E-08
11504.5,3.84E-08
11499.5,3.12E-08
11494.5,2.64E-08
11489.5,2.16E-08
11484.5,1.68E-08
11479.5,1.44E-08
11474.5,1.20E-08
11469.5,1.20E-08
11464.5,9.59E-09
11459.5,7.19E-09
11454.5,7.19E-09
11449.5,4.80E-09
11444.5,4.80E-09
11439.5,4.80E-09
11434.5,4.80E-09
11429.5,4.80E-09
11424.5,2.40E-09
11419.5,2.40E-09
11414.5,2.40E-09
11409.5,2.40E-09
11404.5,2.40E-09
11399.5,2.40E-09
11394.5,0.00E+00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
