index,name,age,probability
1,23874,4459.5,0
1,23874,4454.5,0
1,23874,4449.5,0
1,23874,4444.5,4.705E-09
1,23874,4439.5,3.294E-08
1,23874,4434.5,1.1293E-07
1,23874,4429.5,1.5057E-07
1,23874,4424.5,7.529E-08
1,23874,4419.5,2.8232E-08
1,23874,4414.5,9.411E-09
1,23874,4409.5,9.411E-09
1,23874,4404.5,9.411E-09
1,23874,4399.5,1.8821E-08
1,23874,4394.5,2.8232E-08
1,23874,4389.5,2.8232E-08
1,23874,4384.5,2.8232E-08
1,23874,4379.5,1.8821E-08
1,23874,4374.5,1.4116E-08
1,23874,4369.5,1.8821E-08
1,23874,4364.5,4.235E-08
1,23874,4359.5,1.3645E-07
1,23874,4354.5,4.705E-07
1,23874,4349.5,1.5904E-06
1,23874,4344.5,0.000004423
1,23874,4339.5,0.000012309
1,23874,4334.5,0.00003429
1,23874,4329.5,0.00008914
1,23874,4324.5,0.00019982
1,23874,4319.5,0.0003845
1,23874,4314.5,0.0006364
1,23874,4309.5,0.0008725
1,23874,4304.5,0.0009338
1,23874,4299.5,0.0007754
1,23874,4294.5,0.0005237
1,23874,4289.5,0.00029265
1,23874,4284.5,0.00017305
1,23874,4279.5,0.00011393
1,23874,4274.5,0.00010448
1,23874,4269.5,0.00012621
1,23874,4264.5,0.0001834
1,23874,4259.5,0.00029821
1,23874,4254.5,0.0004974
1,23874,4249.5,0.0007665
1,23874,4244.5,0.0011036
1,23874,4239.5,0.0015401
1,23874,4234.5,0.0021082
1,23874,4229.5,0.0027799
1,23874,4224.5,0.003412
1,23874,4219.5,0.003999
1,23874,4214.5,0.004339
1,23874,4209.5,0.00446
1,23874,4204.5,0.004353
1,23874,4199.5,0.00395
1,23874,4194.5,0.003192
1,23874,4189.5,0.0023746
1,23874,4184.5,0.0017932
1,23874,4179.5,0.0016022
1,23874,4174.5,0.0018327
1,23874,4169.5,0.0025083
1,23874,4164.5,0.003407
1,23874,4159.5,0.004152
1,23874,4154.5,0.004539
1,23874,4149.5,0.004659
1,23874,4144.5,0.004705
1,23874,4139.5,0.004662
1,23874,4134.5,0.004381
1,23874,4129.5,0.003961
1,23874,4124.5,0.003511
1,23874,4119.5,0.003279
1,23874,4114.5,0.003324
1,23874,4109.5,0.003678
1,23874,4104.5,0.003911
1,23874,4099.5,0.003802
1,23874,4094.5,0.003373
1,23874,4089.5,0.0029615
1,23874,4084.5,0.0028711
1,23874,4079.5,0.0029593
1,23874,4074.5,0.0030916
1,23874,4069.5,0.003266
1,23874,4064.5,0.003464
1,23874,4059.5,0.003739
1,23874,4054.5,0.004136
1,23874,4049.5,0.00469
1,23874,4044.5,0.004607
1,23874,4039.5,0.004002
1,23874,4034.5,0.0030827
1,23874,4029.5,0.0027538
1,23874,4024.5,0.003081
1,23874,4019.5,0.003572
1,23874,4014.5,0.004066
1,23874,4009.5,0.004365
1,23874,4004.5,0.004481
1,23874,3999.5,0.004431
1,23874,3994.5,0.004138
1,23874,3989.5,0.003586
1,23874,3984.5,0.0028482
1,23874,3979.5,0.0021631
1,23874,3974.5,0.0016552
1,23874,3969.5,0.0012887
1,23874,3964.5,0.000958
1,23874,3959.5,0.0006214
1,23874,3954.5,0.0003297
1,23874,3949.5,0.00016238
1,23874,3944.5,0.00007312
1,23874,3939.5,0.00003234
1,23874,3934.5,0.000019828
1,23874,3929.5,0.000015095
1,23874,3924.5,0.000012831
1,23874,3919.5,0.00001357
1,23874,3914.5,0.00001357
1,23874,3909.5,0.000011519
1,23874,3904.5,0.000008197
1,23874,3899.5,0.000006084
1,23874,3894.5,0.000005072
1,23874,3889.5,0.000003284
1,23874,3884.5,2.5456E-06
1,23874,3879.5,0.000004216
1,23874,3874.5,0.000013006
1,23874,3869.5,0.000024157
1,23874,3864.5,0.000029888
1,23874,3859.5,0.00003875
1,23874,3854.5,0.00005245
1,23874,3849.5,0.00006278
1,23874,3844.5,0.00005696
1,23874,3839.5,0.0000535
1,23874,3834.5,0.00005424
1,23874,3829.5,0.0000619
1,23874,3824.5,0.00006278
1,23874,3819.5,0.00006494
1,23874,3814.5,0.00005094
1,23874,3809.5,0.00003446
1,23874,3804.5,0.000018007
1,23874,3799.5,0.00000686
1,23874,3794.5,0.000002715
1,23874,3789.5,1.2375E-06
1,23874,3784.5,7.152E-07
1,23874,3779.5,4.752E-07
1,23874,3774.5,2.635E-07
1,23874,3769.5,1.4587E-07
1,23874,3764.5,8.94E-08
1,23874,3759.5,5.646E-08
1,23874,3754.5,3.294E-08
1,23874,3749.5,3.294E-08
1,23874,3744.5,3.764E-08
1,23874,3739.5,4.705E-08
1,23874,3734.5,7.058E-08
1,23874,3729.5,7.058E-08
1,23874,3724.5,8.47E-08
1,23874,3719.5,1.0822E-07
1,23874,3714.5,1.1763E-07
1,23874,3709.5,3.294E-08
1,23874,3704.5,4.705E-09
1,23874,3699.5,0
1,23874,3694.5,0
1,23874,3689.5,0
1,23874,3684.5,0
1,23874,3679.5,0
1,23874,3674.5,0
1,23874,3669.5,4.705E-09
1,23874,3664.5,9.411E-09
1,23874,3659.5,9.411E-09
1,23874,3654.5,0
1,23874,3649.5,0
1,23874,3644.5,0
2,27222,2924.5,0
2,27222,2919.5,0
2,27222,2914.5,0
2,27222,2909.5,5.772E-09
2,27222,2904.5,2.8861E-08
2,27222,2899.5,1.0967E-07
2,27222,2894.5,3.463E-07
2,27222,2889.5,1.1083E-06
2,27222,2884.5,0.000003781
